sentence,sentiment,model_sentiment,dataset,equals,,,,acuraccy ,0.617902054,,sentence count ,12803
ולתפארת מדינת ישראל  בגאווה ובהצלחה גדולה 🎶🎵🎺🎷🎹,0,0,train,TRUE,,,,,,,,
וואוו חמודים בהצלחה מחר,0,0,train,TRUE,,,,,,,,
שבת שלום וחודש טוב כבוד נשיא המדינה,0,0,train,TRUE,,,,,,,,
 לצערי  אני ממש לא מאמינה לעבאס  בעיני הוא בדיוק כמו שהיה ערפאת  משמיע את מה שצריך להשמיע בפני העולם את מה שהעולם מבקש שישמיע  הסולידריות וההבנה כביכול  בלי להתכוון לחצי מילה שיוצאת מהפה שלו  ומול העם שלו אומר אחרת  ומעודד את החוטפים  עצה ידידותית ממני לעבאס  שיפסיק לדבר ויוכיח את עצמו במעשים  כלנו בעד שלום  אנחנו גדלנו עם שירי שלום  חנכנו לשלום ומתפללים לשלום  לצערנו מקטנות מלמדים את הצד השני לשנאת ישראל ולעידוד מעשי עוולה  הקריקטורות והסירטונים שמריצים ברשת מהרחוב הפלסטיני מעידים טוב מאוד מה דעת הקהל האמיתית  גם של עבאס בעצמו  ,1,0,train,FALSE,,,,,,,,
חיוך של נכד זה חיוך מעומק הלב  שתמיד יחזק אותך ,0,0,train,TRUE,,,,,,,,
השב אלוקים בניך אל ביתם,0,2,train,FALSE,,,,,,,,
 גם אני שמאלנית  אך החזקתי לך אצבעות וכשנבחרת  צעקתי יש  ,0,0,train,TRUE,,,,,,,,
מעניין איך היית מגיב עם הבת שלך הייתה מתחתנת אם מוחמד  בחלום בלילה היית מדבר ככה,1,0,train,FALSE,,,,,,,,
אחרי המשפט הראשון שחכת להגיד  יא טמבל  יא טמבל,1,2,train,FALSE,,,,,,,,
אמן,0,0,train,TRUE,,,,,,,,
חג שמח רובי ובהצלחה בנשיאות ,0,0,train,TRUE,,,,,,,,
כולנו תפילה לשלום הנחטפים,0,0,train,TRUE,,,,,,,,
אחחח נשיא יקר  בנבחרת משחקים כבר שנים שחקנים כמו סלים טועמה ראדי בירם כיאל ועוד ערבים כאלה ואחרים  בנתיים לא עלינו למונדיאל  אולי נשנה את המשוואה  אולי בלי ערבים נעלה למונדיאל ,1,0,train,FALSE,,,,,,,,
עשית טעות גדולה באמרותיך יצאת חוצץ נגד הדת ובורא עולם  יש בורא לעולם ויש חוקים והלכה ולא אתה תשנה אותה כי בא לך להיות דמוקרטי ומודרני  מדרון   כנראה הנשיאות עלתה לך למוח ,1,2,train,FALSE,,,,,,,,
 תתביש לך לתמוך בהתבוללות  איזה עתיד יש למדינה היהודית עם נשיא כמוך ,1,2,train,FALSE,,,,,,,,
חבל שאי אפשר לעשות דיסלייק ,1,2,train,FALSE,,,,,,,,
שבת שלום אדוני הנשיא,0,0,train,TRUE,,,,,,,,
למרותהאומץ שלהם אנחנו כואבים ומחבקים,0,2,train,FALSE,,,,,,,,
 לפני שלוש שנים יצאנו לרחובות  בכל הארץ  זה נכון  אבל זה גם קרה בכל העולם  צעירים ומבוגרים גם יחד  מחינו על מחירי הדיור הגואים  על המזון המתייקר  העגלות  הטיטולים  השחיתות ועוד שורה של נושאים רבים והרי גורל  אך מאבקנו לא נשא פרי  מאז התבגרנו קצת  התפכחנו  היום אנחנו יכולים לומר שכל הבעיות הללו הן רק תופעת לוואי של דבר הרבה יותר גדול ועוצמתי שלא חשבנו בכלל לערער עליו  אני מקווה שאתם יושבים בזמן שאתם קוראים את המילים האלה  הבעיה האמיתית שמובילה לכל המחדלים הללו היא הדמוקרטיה  אנחנו פה לא נגד דמוקרטיה  אבל אנחנו נגד השימוש שנעשה במילה הזו כדי לתאר את מדינת ישראל היום  אנחנו מתנגדים לרוב הדמוקרטיות שקיימות היום בעולם הפועלות לפי שיטת הייצוג היחסי  שליטה של 120 נציגים על אוכלוסייה של 8000000 נפשות היא מציאות בלתי אפשרית  העובדה שכדי להיות חבר כנסת  שלא לדבר על חבר קונגרס בארה  ב  צריך להיות בן אדם עשיר כדי לממן קמפיין היא מחדל  הפיתוי שיש גם לאנשים טובים שנמצאים במערכת הזו להכנע לשחיתות ולעשות יד אחת עם גורמים עסקיים היא קיצונית  הגיע הזמן  בעידן בו הטכנולוגיה מאפשרת זאת  לדמוקרטית המונים  לדמוקרטיה בה כל אזרח שרוצה להשתתף בהליך הדמוקרטי של קבלת ההחלטות יוכל לעשות זאת  כאשר רק 120 אנשים מקבלים החלטות על מיליונים זה רק עניין של זמן עד שהמערכת כולה הופכת מושחתת ומייקרת את החיים לכולנו  הגיע הזמן לשים קץ לדמוקרטיות של המאה ה20  ולהתחיל לכתוב פרק חדש בהיסטוריה  דמוקרטיות ההמונים של המאה ה21  ישראל  אומת הסטארט אפ  היא המתאימה ביותר להיות פורצת הדרך בעולם  הצטרפו אלינו  וקראו את הניתוחים שלנו  *** אם זה נשמע לכם קיצוניאנרכיסטי  ובא לכם לתייג אותנו  זכרו שגם בצרפת שלפני המהפכה הצרפתית זה היה נראה הזוי שהעם ישלוט במדינה ולא המלך  httpswwwfacebookcompagesדמוקרטיתהמונים406929672776167,0,2,train,FALSE,,,,,,,,
אני מאחלת לך בהצלחה נשיא יקר  כיף לשמוע שהייצוג של המדינה זה אדם נקי כפיים ומלא חמלה ,0,0,train,TRUE,,,,,,,,
מזל טוב הצניעות שלכם ניצחה,0,0,train,TRUE,,,,,,,,
 כל המדינה מתעסקת באפס הזה העונה לשם מהראן ראדי  במקום שתפתחו את העיניים ותראו איך ערביי ישראל מתנהגים כמו גיס חמישי ומחכים לרגע שיוכלו להכניס לנו סכין עמוק בלב  אותי כבוד הנשיא אתה לא מייצג יש לנו עם אחד ומדינה אחת ואין לסמוך על הערבים ששמחים במותו של כל חייל צהל אז תפסיק בבקשה לקרוא לאנשים שמטיחים את האמת בפנים כקיצוניים  האמת היא לא קיצונית  אלה התפכחות של עם ישראל  כמו כולם התהפכת ברגע שקיבלת תפקיד שלמען האמת אין בו ממש אז בבקשה תתעסק בדברים חשובים יותר מהאפס הזה כדוגמת המנהרות בדרום ובצפון הארץ  ,1,0,train,FALSE,,,,,,,,
אדוני הנשיא אני גאה בכך שאתה נשיא מדינת ישראל ומגיב על גילויי הגזענות הללו אני אוהד מכבי תל אביב והתופעות הללו נגד ראדי מבישות ופוגעות במועדון וחבל,0,0,train,TRUE,,,,,,,,
שבת שלום לך ולבני משפחתך  אתה איש יקר ,0,0,train,TRUE,,,,,,,,
 שנאת חינם  מבית מדרשם של השמאלנים ראו איזה תגובה קיבלתי כאשר כתבתי כי   בארץ ישראל אסור להניף דגל ישראל  זה לא מתאים לשמאל   • נתנו לבהמות דגל  אני  הוראה בלתי חוקי בעליל  דגל ישראל קדוש  אנשים מסרו נפשם על הדגל הזה  • אנשים מסרו נפשם על הרייך השלישי  אז מה  • קדוש רק אלוהים זרע עמלקים ארור  סמרטוט לא יכול להיות קדש גם אם שמים אותו על מקל  דגנרט מנוחשל  תזדיין שוקי תזדיין ותדחף את הדגל יה מסכן  • נתנו לקופים דגל כדי שיהיה להם על מה לריב  • חרפת משפחת הקופים והלמורים  דגל הם צריכים  בננות תנו להם  בוטנים תנו להם  אבל דגל  למה קוף צריך דגל חוץ מאשר למריבה  • קדוש עלאכ  יודונאצים פר אקסלנס  ישראל איבר אלעס  העבודה משחררת  • דגנרטים מנוחשלים אחד אחד  • דגל הוא רוצה להניף  נאציזם הבאת לנו ביחד עם הדגל המסריח שלך  באשמתכם אני לא אעמוד שוב בהנפת הדגל הכהניסטי  ניצחו ערלים את מצוקים ונשבה ארון הקודש  • לא הספיק לכם השיקוץ הכתום גנבתם לנו את הדגל הכחול לבן לעבודת השטן שלכם • טימאתם את הסמרטוט ואת המקל שמתחתיו  • הצבעים של הסמרטוט שאתה מחזיק ביד פחות חשובים מהמעשים שלכם יודנאצים ארורים  אני  ציטוט   פגיעה בכבוד דגל המדינה או סמלה  הפוגע בכבוד דגל המדינה או בכבוד סמל המדינה  או גורם לפגיעה בכבודו  או משתמש בו באופן שיש בו כדי לפגוע בכבודו  דינו   מאסר עד שנה אחת או קנס עד שלוש מאות לירות או שני הענשים כאחד   אנא אמירו לי ידידי האם התגובהה הזו אינה שנאת חינם  ,1,0,train,FALSE,,,,,,,,
לא היינו צריכים לתת לילדי הדרום ומשפחותיהם לחזור עד שצה  ל יבטיח שם שקט ארוך טווח וללא  טפטופי  מרגמות  בואו לא נמשיך עם הטעות הזו ,0,0,train,TRUE,,,,,,,,
 לא לתמוך בגזענות זה מינימום הכרחי לצפות מנשיא של מדינה המתיימרת להיות דמוקרטית  עכשיו  איך קרה שהאזרחים הערבים מקבלים יחס כזה  אולי תבדוק למשל  מר ריבלין  את כל חוקי הגזע שהעבירה הכנסת הקודמת שהיית היור שלה  זו לא זקיפת ראש של הקיצונות  הדג הגזעני מסריח מהראש  אה וגם  הערבים אזרחי ישראל הם פשוט אזרחים  שאמורים להיות שווי זכויות  הם לא תפאורה אקזוטית   לחוויה הישראלית    ,1,0,train,FALSE,,,,,,,,
לגמרי מסכימה איזו זכות יש למשהו להתנגד לחתונה מעורבת הרי זו גזענות שאין כדוגמתה ,0,0,train,TRUE,,,,,,,,
מזל טוב לך ולנחמה,0,0,train,TRUE,,,,,,,,
כל כך עצוב ,0,2,train,FALSE,,,,,,,,
גדול  אתה נשיא נבחר של העם הנבחר וללא ספק תהיה מובחר ,0,0,train,TRUE,,,,,,,,
 תראו את הנשיא הספורטאי שלנו  מדהים  ,0,0,train,TRUE,,,,,,,,
 הפכת לשמאלני  אתה הרי יודע איזה גורל אומלל מצפה לה  אז את עוד תומך בזה  ,1,1,train,TRUE,,,,,,,,
עם נכד כזה רק הצלחה ונחת ,0,0,train,TRUE,,,,,,,,
שבת שלום ומבורך הצלחה  בריאות  ואושר ,0,0,train,TRUE,,,,,,,,
כל הכבוד ,0,0,train,TRUE,,,,,,,,
תמשיך לדבר על הסתה  מעניין  שזה  לא מדאיג ומקומם אותך  httpswwwfacebookcomsmolbogdimphotosnp384693494735462574714664445272884type1notiftnotifyme,1,0,train,FALSE,,,,,,,,
תפקיד הנשיאות זה תפקיד צבוע ,1,2,train,FALSE,,,,,,,,
אנשים מתים בדרום ואתה מדבר על שמיטה  באיזה פלנטה אתה חי ,1,1,train,TRUE,,,,,,,,
 לא הבנתם  התבוללות  שואה  זאת אמנם שואה שקטה  אבל היא מאיימת לאבד את העם היהודי  ,1,1,train,TRUE,,,,,,,,
יהי זכרך ברוך מלאך טהור,0,0,train,TRUE,,,,,,,,
 בישראל אין שלטון מלוכה  אבל הנשיא מלך   ,0,0,train,TRUE,,,,,,,,
 עזה עיר שמונהגת ונשלטת ע  י טרור רצחני של החמאס ועוזריהם  קבוצה של פושעים ורוצחים אסלאמיים  קיצוניים ומטורפים  ישראל לא מכירה בעזה  אין דבר כזה יותר עזה  עזה לא קיימת  היום זה אצלינו  מחר בכל העולם  על העולם להתעורר בזמן  Today its here Tomorrow all over the world The world must wake up  ************************************** זה הזמן להתעורר  עם ישראל חי  וכשהוא מאוחד  השנוי יגיע  בזכות כולנו  ישראל תנצח  אנא שתפו אם אכפת לכם מישראל  Please share if you care Israel ************************************** httpswwwfacebookcompagesD7A6D799D795D7A0D799D791D7A0D7A9D79ED794D7A9D79CD799545198085602593,0,1,train,FALSE,,,,,,,,
כבוד לנשיא  מזל טוב לזוג,0,0,train,TRUE,,,,,,,,
בסדר,0,2,train,FALSE,,,,,,,,
רובי היקר מזל טוב והמון הצלחה  שתהיה שליח נאמן לעם ישראל,0,0,train,TRUE,,,,,,,,
גאוותנו ,0,0,train,TRUE,,,,,,,,
 אני גאה בך אדוני הנשיא  אני מרגיש שהמילים שלך מייצגות אותי ואת כל עם ישראל  שבת שלום  ,0,0,train,TRUE,,,,,,,,
מתי נשיא מדינה מתערב  מתי נשיא מדינה התערב בשירי הנאצה של אוהדי הפועל  ליהודים ,1,0,train,FALSE,,,,,,,,
40 שנה בקבר אין אמונה בערבים,1,2,train,FALSE,,,,,,,,
 אדון הנשיא מי שמכנה את חיילי צהל רוצחים ומי שמניף את דיגלי אשפ ומי שצועק ברחובות ישראל   אללה הו אקבר וארבאת   הכוונה לתחילת הסוף של הציונות זה שזורק אבנים על מכוניות ומסכן את נוסעיהם זה ששורף יערות לא ראויים שיחיו אתנו ולא ראויים לזכויות יחיו אתנו רק אלה ששומרי חוק וכל השאר לטרנספר די עם הלקקנות הזאת אני נגד גזענות אבל די להסתה של חלק נכבד מערביי ישראל ותמיכתם באויבנו ,1,0,train,FALSE,,,,,,,,
מה שמקומם ומדאיג זה שאתה נשיא יא אשכנזי מעפן  גם אתה לא תכבה את הלהבה  עם ישראל מאוחד נגד שמוקים כמוך ,1,0,train,FALSE,,,,,,,,
רובי הוא ירושלמי ואיש ימין אסלי מגיע לו ולנו שיהיה הנשיא הבא,0,0,train,TRUE,,,,,,,,
אין כמוך כבוד הנשיא עמך מלח הארץ אתה אוהביםםםם,0,0,train,TRUE,,,,,,,,
אוהבת לראות אותך נשיא ,0,0,train,TRUE,,,,,,,,
 אומרים כן לגזענות  ביתר טהורה לעד  Avi Hadad אבי בוארון Oved Levi ,1,0,train,FALSE,,,,,,,,
שמחים איתך  שרק תצליח ,0,0,train,TRUE,,,,,,,,
תתבייש אתה  גם גברת פרנקל היקרה שיבחה את אבו מאזן  אז אולי תתקוף אותה גם ,1,2,train,FALSE,,,,,,,,
זה מה שקורה כשבוחרים ליצן למוסד הנשיאות,1,2,train,FALSE,,,,,,,,
שתהיה בריא אדוני הנשיא  אני בטוח שאתה תהיה נשיא שידע לחבר בין כל אזרחי המדינה ותהיה דוגמה לכולם  בהצלחה,0,0,train,TRUE,,,,,,,,
אנחנו איתך ובעדך ,0,2,train,FALSE,,,,,,,,
המון הצלחה אתה ראוי לזה ,0,0,train,TRUE,,,,,,,,
רמדאן התחיל אתמול שיביא שלום לשני העמים  רמדאן כארים,0,2,train,FALSE,,,,,,,,
מצווה מהתורה מספר תכז 427 נאמר לא תתחתן בם פרשת ואתחנן עקב פרשה אחרונה מי אנחנו לקבוע אחרת הקדוש ברוך הוא הוא מחליט כתוב כי מוקש הוא לך לבוא בברית עם עמים אחרים,1,0,train,FALSE,,,,,,,,
שבת שלום כבוד הנשיא לך ולכל באי ביתך אמן אוהבים אותך ✌🌹✌,0,0,train,TRUE,,,,,,,,
 בובה יפה  וכל כך מזכיר לי ימים אחרים בהם כך התייחסו לחג הביכורים  חג שמח רובי לך ולמשפחתך ,0,0,train,TRUE,,,,,,,,
 ומה עם ביתר ירושלים הקבוצה שלך  את זה אתה לא מגנה  ,1,1,train,TRUE,,,,,,,,
שנבחרת מאוד שמחתי אך מהיום דעתי השתנתה אתה אמור להיות נשיא מדינת היהודים אני מתביישת בך,1,0,train,FALSE,,,,,,,,
לברך על נישואי תערובת זה בהחלט מוגזם ,1,2,train,FALSE,,,,,,,,
שבת שלום לכולם מעמותת תנו לחירש נכים למען נכים וארגון ארצנו החברתית,2,0,train,FALSE,,,,,,,,
לכל מי שתומך רק תזכרו שאתם תשבו בראש השנה ופסח עם המשפחות שלכם ותחגגו את ליל הסדר מה יחגגו הילדים של מורל,1,0,train,FALSE,,,,,,,,
 פתיחת כהונה סוערת במיוחד  בתקווה לשקט בהמשך  ,0,2,train,FALSE,,,,,,,,
היא פשוט בוגדת בעצמה  הכלה  במשפחה בדם שלה ובעיקר באדמה שלה שבזכות האדמה הזאת והארץ הזאת יש לה קורת גג מעל הראש,1,0,train,FALSE,,,,,,,,
ברכות מכל הלב לבחירתך כנשיא מדינת ישראל העשירי כי הינך 10 זוכרת אותך ואת תמיכתך האדירה והאיכפתיות והאנושות שבך לאורך כל הדרך מאז ההודענ של שרון בכנס הרצליה על ההתנתקות היית מחובר לנו ולי בפרט כמגורשת גוש קטיף והמשכת להזכירנו בכל טקס במיוחד בהדלקת המשואה של יום העצמאות הינך אדם בראש ובראשונה עם ישראל זכה עם זכייתך כנשיא הינך תאחד ותלכד את העם כולו בעולם בכלל ובפרט בארצנו האהובה ארץישראל מזל טוב ענק ענק ובהצלחה מכל הלב חיה רות דמרי תושבת מושב גן אורשבגוש קטיף והיום אתר הדרוילות שבניצן שתראה הצלחה ובריאות איתנה לך ולרעייתך המק,0,0,train,TRUE,,,,,,,,
 חברים בטרם מר פרס יעזוב את בית הנשיא  לימדו על הגינותו   אכלנו אותה   עם ביבי אך לך מר פרס כל הכבוד  httpswwwyoutubecomwatchvCBqplbkppt8,2,0,train,FALSE,,,,,,,,
גאה שאתה הנשיא שלנו ,0,0,train,TRUE,,,,,,,,
 ישר כח  כבוד הנשׂיא ,0,0,train,TRUE,,,,,,,,
כבוד הנשיא  כמה עצוב ונכון והלוואי שלום אהבה התחשבות והבנה ישכנו בארצנו ובביתנו  בהצלחה לך בכל,0,0,train,TRUE,,,,,,,,
 לא לפי דעתי  ראיף  העם בתהליך של התחזקות ובתווך הארוך ההתבוללויות תתמעטנה ויש לי שאלה נוספת מה קרה שרק עכשיו עושים מהומות על התבוללות כאן בעוד באמריקה הקהילה היהודית מתמעטת עקב התבוללות  ,1,0,train,FALSE,,,,,,,,
 כבוד הנשיא היקר  כל הכבוד לך  אני עריכה ומעריצה אותך  ישר כח  תמשיך להיות נשיאנו הנערץ  כל מילה שלך בסלע  ,0,0,train,TRUE,,,,,,,,
מזעזע  הלב נשבר  נקמת ילד קטן לא ברא השטן ,0,1,train,FALSE,,,,,,,,
רובי תתעוררו תתעוררו ,1,2,train,FALSE,,,,,,,,
 כבוד הנשיא  באחת התמונות שפורסמה הציפורניים שלך מאוד ארוכות  ורואים שזקוקות לגזירה  חשוב לשמור על אסטתיקה במיוחד שאתה הנשיא שלנו    ,1,0,train,FALSE,,,,,,,,
אחלה של נשיא,0,0,train,TRUE,,,,,,,,
אשרייך,0,0,train,TRUE,,,,,,,,
שתשרה עלייך הברכה  הצלחה וברכה בתפקידך ,0,0,train,TRUE,,,,,,,,
ת  נ  צ  ב  ה,0,2,train,FALSE,,,,,,,,
מר ריבלין היקר נשיא מדינת ישראל ולא פלסטין בנושא הזה עדיף מאוד לא להביע את דעתך  לפי התגובה שלך אתה בעד  כן אנו מכבדים את מוחמד  אבל שיתחתן עים בת העדה שלו כושי לא יכול להחליף את עורו כך גם יהודיה לא תחליף את הדת שלה ,1,0,train,FALSE,,,,,,,,
לנשיא הנבחר רובי ריבלין  בהצלחה  ושתהיינה שנים שקטות שנים של נחת ,0,0,train,TRUE,,,,,,,,
ואי זה מקסים,0,0,train,TRUE,,,,,,,,
 שבת שלום אדוני הנשיא  אוהב ירושלים בירתנו הניצחית  ,0,0,train,TRUE,,,,,,,,
גמ לך,0,2,train,FALSE,,,,,,,,
איזה כיף שדווקא אתה נבחרת לנשיא 😍,0,0,train,TRUE,,,,,,,,
בהתחלה פחדו להגיב  בגלל אובמה בגלל התקשורת נגד ישראת בגלת שאסורנהיה לנו לפגוע בפלשתינים בךרט באלו שהגנו עת אנשי חמס,0,1,train,FALSE,,,,,,,,
אושר גדול  האמנתי שזה תיהיה אתה ורק אתה ,0,0,train,TRUE,,,,,,,,
אדוני הנשיא רובי ריבלין השמע את קולך מחכים למוצה פיך,0,0,train,TRUE,,,,,,,,
פרידה את צודקת אין שום שייכות בן ימין ושמאל  זאת בחירה שלה לטוב ולרע ,0,0,train,TRUE,,,,,,,,
 שמחתי כשנבחרת אבל כרגע אתה מבייש את תפקידך  מדינת ישראל שייכת ליהודים בלבד  אנו אמנם מדינה דמוקרטית אבל לתמוך בנשואי תערובת זו כבר בושה  האמן לי אם זו הייתה קרובת משפחתך לא היית מאחל את מה שאיחלת ,1,0,train,FALSE,,,,,,,,
מכבד את דעותיך אבל זה עדיין לא אומר שאסור להפגין פה בארץ  וזה לא אומר שאסור להניף דגל ישראל בארץ ,0,0,train,TRUE,,,,,,,,
בימים אלו פסקה 2 בעייתית כי אנחנו לכאורה מצווים לשחרר  לשמוט אחיזה,1,1,train,TRUE,,,,,,,,
מסכים שיש צורך באחדות כדי להשיג את המטרה ,0,0,train,TRUE,,,,,,,,
כבוד גדול הוא לנועלה והצלח  איש יקר ,0,0,train,TRUE,,,,,,,,
אדוני כבוד הנשיא היקר האהוב אוהב בנימי נפשו את ארץ ישראל המשך בדרכך לאחדות העם פיתוחה וכל הסודנים והאריתראים יחזרו למולדתם אין לנו צורך בעוד התבוללויות עניי עירך קודמים,0,0,train,TRUE,,,,,,,,
כבוד נשיא המדינה מעודד התבוללות ,1,0,train,FALSE,,,,,,,,
רובי יקר תשאל את מנדי שמגיל מסוים לצערנו אין ערך לאברינו המזדקנים   אין מה לעשות הגיל הפיזיולוגי עושה את שלו ,0,2,train,FALSE,,,,,,,,
אדוני הנשיא החזקתי ממך אבל עכשיו כבר לא  אל תשכח אתה יהודי  זה מדינת היהודים ,1,0,train,FALSE,,,,,,,,
כבר נותן דוגמא כבודו,0,0,train,TRUE,,,,,,,,
אני בטוח שתהיה נשיא טוב שייצג את מדינת ישראל בכבוד  ברכות לך אדוני הנשיא הבא ,0,0,train,TRUE,,,,,,,,
תשמעו טוב טוב עם של חמורים וזה לא אני המצאתי את השם הזה על בני ישמעאל זה אברהם אבינו שאמר לישמעאל בנו שבו לכם פה עם החמור עם משול לחמור  תביטו סביב מה נעשה עם האסלם ותבינו את ההבדל בן קודש לחול ובין היהדות הקדושה לאסלם דת השטן הטמא תראו איך האסלם יש בו רק רע רק רצח רק הרג רק דיקטטורה ושפיכות דמים אחד שונא את השני והורג את השני  עם ישראל קדוש כמו עץ הגפן שעושים ממנו יין לא מקבל הכלעה עם שום סוג של עץ אחר כך לא יעזור לכם כלום כי כל הילדים שיולדו משידוך זה יהודים לכל דבר והאבא והאמא ישבו בגהינום עד שהילדים האלו יחזרו ליהדות פה בארץ אפשר להתחתן עם הערבים אבל בשמים לא ניתן לערבב נשמות קדושות של עם ישראל עם נשמות טמאות של כל הגוים  הקב  ה והשכינה הקדושה מולידים את נשמות ישראל לעולם ואילו השטן ששמו סמאל  אתיות אסלם  ואשתו ששמה לילית  לילה וחושך של עולם  הם מולידים את נשמות הגוים בעולם אז לא ניתן בשמים לערבב בין צד הטומאה לצד הקדושה ,1,1,train,TRUE,,,,,,,,
 שלום לכל עם ישראל  חזק ואמץ  זו בחינת האמונה ובהשגחתו בשם יתברך  אנו חייבים להיות חזקים באמונה בשם ולהיות מאוחדים ולתמוך במשפחות החטופים  זו בחינת העם היהודי רחמן ומתנהג באצילות דווקא ברגעים קשים  ברגעים אלו אסור לנו לעורר קטרוגים בשמיים על ידי האשמות ופילוגים שוניםוכמו כן  לקשר לבעיה למגזר מסוים ולא להתייחס כאל בן משפחתנו  זהו אסון לאומי – כשנחטף אחד מבנינו  זה מחזיר אותנו לתקופות אפלות  כשדם יהודי היה הפקר  כשחטפו יהודים על מנת להשיג את מטרתם הנפשעת  אומות העולם לא יבינו את הבעיות שלנו לעולם ובאיזו מציות אנחנו חיים ועם אילו אתגרים מתמודדים כל רגע ורגע  ורק בזכות הרחמן  הנורא והגדול הקדוש ברוך הוא  כבשה בין 70 הזאבים  הרועה הנאמן ששומר על עדרו  יש לנו תקווה להינצל  אנחנו עם חזק  לא היה  ולא יהיה עם חזק כמו ישראלדבקות בשם  התנהגות על פי מידותיו זו הוכחה לכך שעם ישראל הוא עם הנבחר – עם השם  בקשר לחטופים  אני מאמין שממשלת ישראל עושה הכל שביכולתה על מנת להחזיר את בנינו הביתה וגם את ביטחון אזרחיה  בקשה אחת אל מקבלי ההחלטות  זכרו משפט חזל  המרחם על אכזרים – סופו להתאכזר ברחמנים  אסור להיכנע ללחץ ולסחטנות ולפעול בקור רוח על מנת להשיג את מטרתנו  יש לעשות כל הפעולות הנדרשות על מנת להביאם הביתה  התופעה הזו חייבים למגר פעם או לתמיד  כשהם  האויבים  ישמעו – יהודי  ירעדו מפחד ושתפרח נשמתם באותו רגע  תציעו למחבלים  שחטפו את הנערים  שמדינת ישראל נותנת חנינה לאותם המבצעים ולא תפגע בהם במידה וישחררו את הבנים בריאים ושלמים תוך זמן קצוב  וייחשב זה כניסיון ומעשה טיפשי ולא שקולט היטב מצדם  אחרת יש להצהיר שבעוד 24 שעות יומתו 50 מחבלים עצורים אצלנו באופן אקראי וכך עד המחבל האחרון בכלא  במגביל לעצור את כל ההנהגה הפלסטינית ולנתק את חשמל  מים  לגרום להגירה המונית לבהמות הללו  זו הכרזת מלחמה  רבנים  לגייס את העם  אתם המנהיגים האמיתיים שעתידים בקרוב להנהיג להדריך את העם על פי דבר השם  בעוד שלושה ימים כל העם חייב להתגייס למשימה זו  אם הממשלה לא תוכל לתת מענה העם חייב להתייצב ולעשות זאת כאיש אחד בלב אחד  להשמיד את עמלק  בעזרת השם ננצח  שמע ישראל ה אלוהינו ה אחד  להרבות בתפילות שכל הדברים הנוראים והפורענויות יסתלקו מן העולם  ,0,0,train,TRUE,,,,,,,,
סליחה מוסלמי,1,1,train,TRUE,,,,,,,,
 נראה  לך  אדוני הנשיא החדש  שלמשרות של מנהלים במשקקצינים בכירים בצבאשופטים וכו ׳ מקיימים ועדות קבלה שמסננות מןעמדים ואילו לתפקיד נשיא המדינה מתנהל שוק  קח תן  הכי מבורדק  הכי נמוך וצעקני שיכול להיותכפי שראינו היום ובימים האחרונים  האם זה ראוי  הטם מכובד דיו  מאחל לך בהצלחה  מכל הלב  אבל באותה נשימה מבקש מכבודו שישקול שינויים בדרך המינוי  שלא לדבר על המישרה המיותרת וזוללת התקציבים הזאת    ,0,0,train,TRUE,,,,,,,,
 דברייך ריגשו אותי עד דמעות ונגעו בי  וכמו בהתבטאויות קודמות שלך כנשיא המדינה  הראת גדולה ותבונה ועדינות ויכולת לחזק  לאחד  לקרב  להנהיג  תודה ענקית מאזרח ,0,0,train,TRUE,,,,,,,,
יש נשיא בירושלים,0,0,train,TRUE,,,,,,,,
כמה עצוב,0,2,train,FALSE,,,,,,,,
כתב ז ׳ בוטינסקי נווו שוין  כל מה שכתב ז ׳ בוטינסקי אתה מיישם ,1,2,train,FALSE,,,,,,,,
שבע שנים סבלנו על מנת  לזכות לבסוף נשיא כלבבנו  ישר כח נשיא אהוב ויקר ,0,0,train,TRUE,,,,,,,,
 אין כמוך  בהצלחה ,0,0,train,TRUE,,,,,,,,
 וגודלה מאיר אמרה שכל מתבולל מצטרף לששת המיליונים  מצחיק לשמוע אותך מדבר על הסתה לנוכח ההפגנה האחרונה שבה אירגוני שמאל קיצוני מיסיתים נגד צהל  אבל אתה שותק  בחרנו נשיא חדש או בובה של פרס  אחרי הכל שפרס מפליץ יש כותרת  ושאתה מדבר מריחים את הריח  אתה אולי נשיא שמנסה ליישר קו עם כולם אבל לא עם עם ישראל  תפנים עם זה שיותר גבוה מנשיא לא תגיע לכלום  אז לפחות תקנה את האהבת העם  מוסד הנשיאות הוא מוסד רקוב ומיותר  ואתה מפריח ניצנים שמוכיח זאת  זכית בחסד בנשיאות  ואתה מביש אותה בצדק  תשמח בשמחתם  ותתבייש באמירה הזאת באותה מידה  כי אתה אוליי מנסה להיות הנשיא שלא כולם אבל אתה של כולם חוץ משלנו  ,1,1,train,TRUE,,,,,,,,
זדיין רובי מוות למחבלים  היא נשמה טועה שהבן בליעל הזה ימח שמו וזיכרו בילבל אותה,1,1,train,TRUE,,,,,,,,
2 רקטות קסאם התפוצצו לפני זמן קצר בשטחים פתוחים במועצה האזורית שדות נגב  לא דווח על נפגעים או נזק ,2,1,train,FALSE,,,,,,,,
 איריס אוי לנו אם רק את היית שמחה  בטוח שהוא לא היה נבחר חשבת על זה  אולי התכוונת אזרחית טיפשה אחת  ,2,0,train,FALSE,,,,,,,,
 ידוע שהוא נבחר לתפקיד   הפרזידנט   בזכות קולות הערבים האנטישמים ,1,0,train,FALSE,,,,,,,,
